timestamp_ms,gaze_x,gaze_y,yaw_deg,pitch_deg,aoi_id,confidence
590.7352999929572,284.1386791972692,591.4529721058834,15.673279484657865,-9.125564740602039,R3C1,0.9997538924217224
972.017499996582,274.09801632358995,612.9522081562607,13.663803679894263,-8.764976856202264,R3C1,0.9997474551200867
1272.3174999991897,276.2828409581189,625.4141094592379,13.321777688337642,-8.192474811135634,R3C1,0.9997368454933167
1524.4845999986865,276.9559601737172,633.1082250270845,13.056175537177943,-8.103512201952551,R3C1,0.9997367262840271
1784.1131999884965,274.23195829045164,637.9930200037428,12.721362737649043,-8.321979068239605,R3C1,0.9997265934944153
2025.9840999933658,271.6103745956107,653.4033482094752,12.411082383908024,-7.9707517161947985,R3C1,0.9996907711029053
2279.7618999902625,270.48982183374346,661.7267775569286,11.866826728449588,-7.990476164152933,R3C1,0.9997100234031677
2622.9873999982374,269.5088977299864,668.5724822917684,11.82997173916624,-7.5396856710706,R3C1,0.9997033476829529
2856.7777999996906,269.412483276711,674.8449967255418,11.754939265221495,-7.429293378940503,R3C1,0.9996808767318726
3087.072599999374,274.7226589479572,681.465638858154,11.832850663901402,-7.186495593019987,R3C1,0.9997019171714783
3362.4010999919847,283.3445152172737,687.0246981579008,12.028829281756577,-6.680979561021199,R3C1,0.9997053742408752
3650.305799994385,296.37952917853136,690.2241096978767,12.37106857442915,-6.625493523229346,R3C1,0.9997138381004333
3893.497400000342,309.93192928613973,692.4575874401768,12.560155531411786,-6.2170870575634885,R3C1,0.999721109867096
4150.032799996552,324.198252559048,693.5972606646853,12.768748228003505,-6.164477312038053,R3C1,0.9997232556343079
4400.28099999472,339.05777662445485,694.9391627758578,12.839416780251042,-5.829760476666993,R3C1,0.9997276663780212
4650.742199999513,353.24776125144035,695.3791931051359,13.13184122657699,-5.435643620518448,R3C1,0.9997442364692688
4906.568399994285,368.09553202593963,689.0927670557709,14.833676915682362,-5.906924040780585,R3C1,0.9997350573539734
5144.126300001517,377.5396240304554,682.5768039740329,14.627342592680586,-6.002619544511911,R3C1,0.9997443556785583
